iter	Passed	Remaining
0	140	140835
1	142	71033
2	143	47838
3	145	36200
4	146	29231
5	148	24588
6	149	21258
7	151	18756
8	152	16837
9	154	15290
10	155	14017
11	157	12963
12	159	12094
13	160	11334
14	162	10665
15	163	10078
16	165	9550
17	166	9089
18	168	8676
19	169	8304
20	170	7971
21	172	7661
22	173	7384
23	175	7131
24	177	6907
25	178	6696
26	180	6494
27	182	6322
28	183	6153
29	185	5990
30	186	5838
31	188	5692
32	189	5559
33	191	5436
34	192	5317
35	194	5207
36	196	5107
37	197	5003
38	199	4912
39	200	4822
40	202	4742
41	204	4659
42	205	4579
43	207	4502
44	208	4429
45	210	4360
46	211	4290
47	213	4226
48	214	4165
49	215	4103
50	217	4046
51	218	3991
52	220	3936
53	221	3885
54	223	3836
55	224	3788
56	226	3741
57	227	3694
58	229	3652
59	230	3610
60	231	3567
61	233	3526
62	234	3487
63	235	3448
64	237	3411
65	238	3377
66	239	3342
67	241	3307
68	242	3273
69	243	3239
70	245	3206
71	246	3175
72	247	3145
73	249	3116
74	250	3087
75	251	3060
76	253	3032
77	254	3006
78	255	2981
79	257	2957
80	258	2933
81	259	2909
82	260	2880
83	262	2858
84	263	2836
85	264	2815
86	266	2795
87	267	2774
88	269	2754
89	270	2734
90	271	2715
91	273	2695
92	274	2675
93	275	2658
94	277	2639
95	278	2621
96	279	2604
97	281	2587
98	282	2572
99	284	2557
100	285	2542
101	287	2527
102	288	2512
103	289	2496
104	291	2482
105	292	2467
106	293	2453
107	295	2440
108	296	2426
109	298	2415
110	300	2403
111	301	2389
112	302	2377
113	304	2366
114	305	2354
115	307	2342
116	308	2329
117	310	2320
118	312	2313
119	314	2303
120	315	2293
121	317	2281
122	318	2271
123	320	2264
124	321	2253
125	323	2245
126	325	2236
127	326	2226
128	328	2218
129	330	2210
130	331	2200
131	333	2190
132	334	2179
133	335	2169
134	337	2159
135	338	2153
136	340	2143
137	341	2133
138	342	2123
139	344	2115
140	345	2106
141	346	2094
142	348	2085
143	349	2077
144	350	2068
145	352	2060
146	353	2051
147	354	2042
148	356	2034
149	357	2026
150	358	2018
151	360	2009
152	361	2001
153	362	1993
154	364	1985
155	365	1978
156	367	1971
157	368	1963
158	369	1956
159	371	1949
160	372	1939
161	373	1933
162	375	1925
163	376	1918
164	377	1911
165	379	1904
166	380	1897
167	381	1890
168	383	1883
169	384	1876
170	385	1869
171	387	1863
172	388	1857
173	390	1852
174	391	1846
175	393	1840
176	394	1833
177	395	1827
178	397	1821
179	398	1815
180	399	1809
181	401	1803
182	402	1797
183	403	1791
184	405	1785
185	406	1779
186	407	1773
187	409	1768
188	410	1762
189	411	1756
190	413	1750
191	414	1744
192	415	1739
193	417	1734
194	418	1728
195	420	1723
196	421	1718
197	422	1713
198	424	1707
199	425	1701
200	426	1696
201	428	1691
202	429	1686
203	430	1681
204	432	1676
205	433	1670
206	434	1666
207	436	1661
208	437	1656
209	439	1651
210	440	1647
211	441	1642
212	443	1637
213	444	1632
214	445	1627
215	447	1623
216	448	1618
217	449	1613
218	451	1609
219	452	1605
220	454	1600
221	455	1595
222	456	1591
223	458	1587
224	459	1582
225	460	1578
226	462	1573
227	463	1569
228	465	1565
229	466	1561
230	467	1557
231	469	1553
232	470	1549
233	472	1545
234	473	1541
235	474	1537
236	476	1532
237	477	1528
238	478	1524
239	480	1520
240	481	1516
241	482	1512
242	483	1507
243	485	1503
244	486	1500
245	488	1495
246	489	1491
247	490	1487
248	491	1483
249	493	1479
250	494	1475
251	495	1472
252	497	1468
253	498	1464
254	499	1460
255	501	1456
256	502	1452
257	503	1449
258	505	1445
259	506	1441
260	507	1437
261	509	1434
262	510	1430
263	512	1427
264	513	1424
265	514	1420
266	516	1416
267	517	1413
268	518	1409
269	520	1406
270	521	1402
271	522	1399
272	524	1396
273	525	1393
274	527	1389
275	528	1386
276	529	1382
277	531	1379
278	532	1376
279	533	1372
280	535	1369
281	536	1365
282	537	1362
283	539	1359
284	540	1356
285	542	1353
286	543	1350
287	545	1347
288	546	1344
289	547	1341
290	549	1337
291	550	1334
292	551	1331
293	553	1328
294	554	1325
295	555	1322
296	557	1319
297	558	1316
298	560	1313
299	561	1309
300	562	1306
301	564	1303
302	565	1300
303	566	1297
304	568	1294
305	569	1291
306	570	1288
307	572	1285
308	573	1282
309	574	1279
310	576	1276
311	577	1273
312	578	1270
313	579	1267
314	581	1264
315	582	1261
316	583	1258
317	585	1255
318	586	1252
319	587	1249
320	589	1246
321	590	1243
322	591	1240
323	593	1237
324	594	1234
325	595	1231
326	597	1229
327	598	1226
328	599	1223
329	601	1221
330	602	1218
331	604	1215
332	605	1212
333	606	1210
334	608	1207
335	609	1204
336	611	1202
337	612	1199
338	613	1196
339	615	1194
340	616	1191
341	617	1188
342	619	1186
343	620	1183
344	622	1181
345	623	1178
346	624	1175
347	626	1173
348	627	1170
349	628	1167
350	630	1165
351	631	1162
352	632	1159
353	634	1157
354	635	1154
355	636	1151
356	638	1149
357	639	1147
358	641	1144
359	642	1142
360	643	1139
361	645	1137
362	646	1134
363	647	1131
364	649	1129
365	650	1126
366	651	1124
367	653	1121
368	654	1119
369	655	1116
370	657	1114
371	658	1111
372	659	1109
373	661	1106
374	662	1104
375	663	1101
376	665	1099
377	666	1096
378	668	1094
379	669	1092
380	671	1090
381	672	1088
382	674	1086
383	675	1084
384	677	1081
385	678	1079
386	679	1077
387	681	1074
388	682	1071
389	683	1069
390	685	1067
391	686	1064
392	687	1062
393	689	1060
394	690	1057
395	691	1055
396	692	1052
397	694	1050
398	696	1048
399	697	1046
400	698	1043
401	700	1041
402	701	1039
403	703	1037
404	704	1034
405	705	1032
406	707	1030
407	708	1027
408	709	1025
409	711	1023
410	712	1021
411	713	1018
412	715	1016
413	716	1014
414	717	1011
415	719	1009
416	720	1007
417	721	1004
418	723	1002
419	724	1000
420	725	998
421	727	996
422	728	994
423	730	991
424	731	989
425	732	987
426	734	985
427	735	983
428	736	980
429	738	978
430	739	976
431	741	974
432	742	972
433	743	970
434	745	967
435	746	965
436	747	963
437	749	961
438	750	959
439	752	957
440	753	955
441	754	952
442	756	950
443	757	948
444	758	946
445	760	944
446	761	942
447	762	939
448	764	937
449	765	935
450	766	933
451	768	931
452	769	929
453	770	927
454	772	924
455	773	922
456	774	920
457	776	918
458	777	916
459	778	914
460	780	911
461	781	910
462	782	908
463	784	905
464	785	903
465	787	901
466	788	899
467	789	897
468	791	895
469	792	893
470	794	891
471	795	889
472	797	888
473	798	886
474	799	884
475	801	882
476	802	880
477	804	878
478	805	876
479	806	874
480	808	872
481	809	870
482	810	867
483	812	865
484	813	863
485	814	861
486	816	859
487	817	857
488	818	855
489	820	853
490	821	851
491	822	849
492	824	847
493	825	845
494	827	843
495	828	841
496	829	839
497	831	837
498	832	835
499	833	833
500	835	831
501	836	829
502	837	827
503	839	825
504	840	823
505	841	821
506	842	819
507	844	817
508	845	815
509	846	813
510	848	811
511	849	809
512	850	807
513	852	805
514	853	803
515	854	801
516	856	800
517	857	798
518	859	796
519	860	794
520	861	792
521	862	790
522	864	788
523	865	786
524	866	784
525	868	782
526	869	780
527	870	778
528	872	776
529	873	774
530	875	772
531	876	770
532	877	769
533	879	767
534	880	765
535	881	763
536	883	761
537	884	759
538	885	757
539	886	755
540	888	753
541	889	751
542	890	749
543	892	747
544	893	746
545	895	744
546	896	742
547	897	740
548	899	738
549	900	737
550	902	735
